adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,status_code,status_message,success
False,/vL5zdAKAnbcHjoewXoP4xy6ihf7.jpg,,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Familial'}, {'id': 878, 'name': 'Science-Fiction'}, {'id': 35, 'name': 'Comédie'}]",https://www.disneyplus.com/fr-fr/movies/maggie-simpson-dans-une-galaxie-lointaine-tres-lointaine/2zm2a2lPGiYX,1121116.0,tt27658815,en,"Maggie Simpson in ""Rogue Not Quite One""","En route pour la crèche, Homer perd la trace de Maggie. Cette dernière saute dans le landau flottant de Grogu et embarque pour un voyage hyperspatial à travers la galaxie. Confrontée à un escadron de chasseurs TIE de l'Empire, Maggie déclenche une bataille épique avec Springfield comme toile de fond dans ce court-métrage en hommage à Star Wars.",31.552,/56fbqsdqmgnrReVrZT8KfmxHBK.jpg,"[{'id': 18, 'logo_path': '/uqhagSwM7NAkQWVCQhKTyoqF8XH.png', 'name': 'Gracie Films', 'origin_country': 'US'}, {'id': 154887, 'logo_path': '/wLFPu95hIMmyLR5hdtvYaMuK0tG.png', 'name': '20th Television Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2023-05-04,0.0,5.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,"Maggie Simpson dans une galaxie lointaine, très lointaine",False,6.244,41.0,,,
False,/px5iB1XaWqzdADcKRnj5cXJ7OkS.jpg,,0.0,"[{'id': 18, 'name': 'Drame'}, {'id': 10752, 'name': 'Guerre'}]",,1119035.0,tt27198589,ru,Сокровища партизанского леса,,0.724,/q7Fgbo0YEgV9OmXlq9MaQUojaaR.jpg,[],"[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2023-05-04,0.0,102.0,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Сокровища партизанского леса,False,1.0,1.0,,,
False,,,0.0,[],,1111072.0,tt28246384,en,Art As Means of Breath,,0.6,/uHeVlOWGFPK9aPgsqog9zf6q0mo.jpg,[],[],2023-05-04,0.0,6.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Art As Means of Breath,False,0.0,0.0,,,
False,,,0.0,[],,1111060.0,tt26685234,en,Ro & Shirelle,,0.6,/snwUJQLSc5VHXJ7J5dMjjQyQFp.jpg,[],[],2023-05-04,0.0,8.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Ro & Shirelle,False,0.0,0.0,,,
False,,,0.0,"[{'id': 99, 'name': 'Documentaire'}]",,1111023.0,tt27514598,es,"Viedma, la capital que no fue",,0.6,/wVchwP41770g8s17XG7tYh25j7k.jpg,"[{'id': 87374, 'logo_path': None, 'name': 'Salamanca Cine', 'origin_country': ''}]",[],2023-05-04,0.0,78.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,"Viedma, la capital que no fue",False,0.0,0.0,,,
False,/6oUnLRlbSEo5rFbW5xfTHSBSMiX.jpg,,0.0,"[{'id': 99, 'name': 'Documentaire'}]",,1109837.0,tt27458960,pt,Dos 3 aos 3,,0.6,/eCdfgsjskoBnQNFvnPOyjcPa1yZ.jpg,"[{'id': 139611, 'logo_path': None, 'name': 'Embaúba Filmes', 'origin_country': ''}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2023-05-04,0.0,0.0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Dos 3 aos 3,False,0.0,0.0,,,
False,/u0VxdMAN70RoBDxuxbVQ9SEJA47.jpg,,0.0,"[{'id': 18, 'name': 'Drame'}]",,1109148.0,tt26736888,it,La quattordicesima domenica del tempo ordinario,,2.908,/sAY3vkg5PvT0tQPeml4NSkrRKkj.jpg,"[{'id': 8988, 'logo_path': '/A0gkFhxkqEbpKxwuutnS6wP12FC.png', 'name': 'Duea Film', 'origin_country': 'IT'}, {'id': 12377, 'logo_path': None, 'name': 'Minerva Pictures Group', 'origin_country': 'IT'}, {'id': 115535, 'logo_path': '/mYoc1K3UPAUqKfuCYkvDLJN2aAA.png', 'name': 'Vision Distribution', 'origin_country': 'IT'}, {'id': 19079, 'logo_path': '/zVjTchp0zgjnMbDduH1e1jfBd85.png', 'name': 'Sky', 'origin_country': 'IT'}, {'id': 14016, 'logo_path': '/snclwsIZQbgvqYCBJP8fqNlCA5y.png', 'name': 'MiC', 'origin_country': 'IT'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2023-05-04,0.0,98.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,La quattordicesima domenica del tempo ordinario,False,5.636,33.0,,,
False,,,0.0,"[{'id': 18, 'name': 'Drame'}]",,1109137.0,tt27198774,ru,Помилование,,2.005,/o1qeH4JzTDfqaVFSUh8M7Ja9UGX.jpg,"[{'id': 13322, 'logo_path': None, 'name': 'Motor! Film Studio', 'origin_country': 'RU'}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2023-05-04,0.0,101.0,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Помилование,False,4.0,2.0,,,
False,,,0.0,"[{'id': 99, 'name': 'Documentaire'}]",,1109012.0,tt27480579,fr,Sleepless Birds,,0.6,/yOrAR7ctttMPrlbRkQZovuDIK9k.jpg,"[{'id': 197558, 'logo_path': None, 'name': 'Pangolin Doxx', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2023-05-04,0.0,45.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Sleepless Birds,False,5.5,1.0,,,
False,/qr3CDX9ojpgzidmXQhrPmav8R1v.jpg,,0.0,"[{'id': 18, 'name': 'Drame'}]",,1108962.0,tt21880724,es,Si todas las puertas se cierran,,6.834,/miLOZwtrxm5MlWn73vPp2gAnhkU.jpg,"[{'id': 205532, 'logo_path': None, 'name': 'Ulises Producciones', 'origin_country': ''}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2023-05-04,0.0,0.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Si todas las puertas se cierran,False,5.667,3.0,,,
False,,,0.0,"[{'id': 18, 'name': 'Drame'}, {'id': 53, 'name': 'Thriller'}]",,1108051.0,tt8034016,it,Dark Matter,,2.364,/ckIjARvcdrKLtTKx4oaGiJqAC0e.jpg,"[{'id': 197007, 'logo_path': None, 'name': 'Superotto Film Production', 'origin_country': ''}, {'id': 53963, 'logo_path': '/jSxqdEEa6N9h3k3X9hOXrPTieno.png', 'name': 'KeyFilm', 'origin_country': 'NL'}, {'id': 20416, 'logo_path': '/jTXzZRiKZt7L4YvVW4DGvqU51RU.png', 'name': 'Regione Lazio', 'origin_country': 'IT'}, {'id': 141573, 'logo_path': None, 'name': 'Emilia-Romagna Film Commission', 'origin_country': ''}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}]",2023-05-04,0.0,0.0,[],Released,,Dark Matter,False,0.0,0.0,,,
False,/8itc785E0RuBIKcMBucyyjHevsg.jpg,,0.0,"[{'id': 35, 'name': 'Comédie'}, {'id': 18, 'name': 'Drame'}]",,1106865.0,tt27371976,es,Último Recurso,,10.636,/aY5rzOOgeiZylPmAN7ds8H219vg.jpg,"[{'id': 121381, 'logo_path': None, 'name': 'Kligger', 'origin_country': ''}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",2023-05-04,0.0,79.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Último Recurso,False,6.0,2.0,,,
False,,,0.0,[],,1104957.0,tt27449092,fr,Une jeunesse aimable,,0.6,/kRmXQPaNgXU5LT6ZyniRoNdoX3W.jpg,[],[],2023-05-04,0.0,16.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Une jeunesse aimable,False,0.0,0.0,,,
False,,,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Familial'}]",,1096796.0,tt29228628,xx,Kājām gaisā,,0.6,/uKx3SxWGzYXqp9UQpxIekdDLery.jpg,"[{'id': 82672, 'logo_path': None, 'name': 'Animācijas Brigāde', 'origin_country': 'LV'}]","[{'iso_3166_1': 'LV', 'name': 'Latvia'}]",2023-05-04,0.0,10.0,[],Released,,Kājām gaisā,False,6.0,1.0,,,
False,/p4PFlQQ738DXE9QC7t1Khgz0e56.jpg,,0.0,[],,1088147.0,tt28117472,fr,Les Sports X-trem,,0.6,/lkBeFHpRiutxDNLEwABqUntUsOQ.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",2023-05-04,0.0,19.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Les Sports X-trem,False,0.0,0.0,,,
False,,,0.0,"[{'id': 28, 'name': 'Action'}]",,1067463.0,tt27197550,ms,VII XII,"Safia, une athlète d'arts martiaux, doit se battre pour sauver son neveu qui a été kidnappé par un syndicat de trafiquants d'êtres humains.",1.849,/778XTUhXfnLVIls0eipItkOrlws.jpg,"[{'id': 13426, 'logo_path': None, 'name': 'Osmosis Productions Inc.', 'origin_country': ''}]","[{'iso_3166_1': 'MY', 'name': 'Malaysia'}]",2023-05-04,0.0,0.0,"[{'english_name': 'Malay', 'iso_639_1': 'ms', 'name': 'Bahasa melayu'}]",Released,,VII XII,False,0.0,0.0,,,
False,/79czbC1CQ4Mak3AjextNzGubPfJ.jpg,"{'id': 1067391, 'name': 'Adventures of Jurassic Pet Collection', 'poster_path': None, 'backdrop_path': None}",0.0,"[{'id': 10751, 'name': 'Familial'}, {'id': 12, 'name': 'Aventure'}, {'id': 878, 'name': 'Science-Fiction'}, {'id': 35, 'name': 'Comédie'}]",,1065826.0,tt14399126,en,The Adventures of Jurassic Pet 2: The Lost Secret,"Wendy, une adolescente aventureuse, et sa grand-mère sont les protectrices d'une porte magique qui mène à un univers de dinosaures. C'est alors que Junior, un bébé dinosaure, décide de rester dans le monde humain, et tombe sur un groupe de criminel.",3.544,/gbxXpIlVDn0Ujzj5Ki63vm5F1DS.jpg,"[{'id': 3604, 'logo_path': '/jC6Hk3ZyNRlVPJsA0xGlAhgd2RP.png', 'name': 'Grindstone Entertainment Group', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2023-05-04,0.0,84.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Jurassic Pet 2 : Le Secret perdu,False,4.333,3.0,,,
False,/w2by4uykrzoyM97hEWCUSyeBh3x.jpg,,0.0,"[{'id': 18, 'name': 'Drame'}, {'id': 9648, 'name': 'Mystère'}]",,1056731.0,tt10564692,de,Wenn die Heidelerche singt,,0.6,/rSvCsVk5uWD6nEZXh7BA6X6s0pD.jpg,[],"[{'iso_3166_1': 'AT', 'name': 'Austria'}]",2023-05-04,0.0,0.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Wenn die Heidelerche singt,False,0.0,0.0,,,
False,/3q3Fv5JaNBEpCCdd9hqXdRwhBmi.jpg,,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comédie'}]",,1055299.0,tt24178392,ru,Юра дворник,,1.172,/zuwWIJheew0PUnVgKB7xYabsAnp.jpg,"[{'id': 20505, 'logo_path': None, 'name': 'Karoprokat', 'origin_country': ''}, {'id': 176962, 'logo_path': None, 'name': 'Dudka Films', 'origin_country': 'RU'}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2023-05-04,0.0,93.0,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Юра дворник,False,7.5,2.0,,,
False,/zMeX3GQCA6DCNw3GbTIClAzSaq7.jpg,,0.0,"[{'id': 9648, 'name': 'Mystère'}, {'id': 14, 'name': 'Fantastique'}, {'id': 878, 'name': 'Science-Fiction'}]",,1024707.0,tt15831022,en,The Survival of Kindness,"BlackWoman est abandonnée dans une cage au milieu du désert. Elle parvient à s'échapper et se erre entre le désert, la montagne et la ville.",3.359,/eT7Hu941qjDgWjYdZImLgkR0O00.jpg,"[{'id': 116502, 'logo_path': '/uFbMeDr4gvMIBRC3hAU53CzAYNm.png', 'name': 'Vertigo Productions', 'origin_country': 'AU'}, {'id': 14722, 'logo_path': '/28CCkEpXagqTFKSjILPhF8tXwWp.png', 'name': 'Triptych Pictures', 'origin_country': 'AU'}, {'id': 2806, 'logo_path': '/vxOhCbpsRBh10m6LZ3HyImTYpPY.png', 'name': 'South Australian Film Corporation', 'origin_country': 'AU'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2023-05-04,0.0,96.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,The Survival of Kindness,False,0.0,0.0,,,
False,/eD6Z4ArYzLiQVZXYtXgY7rNkJIZ.jpg,,0.0,"[{'id': 10770, 'name': 'Téléfilm'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comédie'}]",,1024601.0,tt22074482,en,May the Best Wedding Win,"Tiffany et Amber sont les meilleures ennemies du monde depuis quatorze ans, jusqu’au jour où leur rivalité professionnelle empiète sur leur vie privée et amoureuse.",2.316,/yf4tmrT0W325nCZh13FSCvCfkMu.jpg,"[{'id': 15645, 'logo_path': '/lUIW54MXFbB94IKiVzwTRu1R3UX.png', 'name': 'Reel One Entertainment', 'origin_country': 'CA'}, {'id': 146144, 'logo_path': None, 'name': 'CMW Winter Productions', 'origin_country': 'CA'}, {'id': 140422, 'logo_path': '/bdzcN8jo9l77g5zKqPlxW3CkejM.png', 'name': 'Champlain Media', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2023-05-04,0.0,85.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Que le meilleur mariage gagne !,False,4.0,1.0,,,
False,/B5JPM3Q3xIINnvA71vMsJ7qW43.jpg,,0.0,"[{'id': 10402, 'name': 'Musique'}, {'id': 18, 'name': 'Drame'}]",,1017103.0,tt22772838,hu,Radics Béla – A megátkozott gitáros,,0.84,/jMDZGScjGpdldFZguytkuGV8iPx.jpg,[],[],2023-05-04,0.0,100.0,"[{'english_name': 'Hungarian', 'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,Radics Béla – A megátkozott gitáros,False,0.0,0.0,,,
